,status
5397,0
761,1
6778,0
10119,1
7997,1
5957,0
7475,0
8057,1
6024,0
9082,0
4789,0
8651,1
9168,1
7667,1
650,0
7853,0
6777,0
2747,0
11268,0
11344,1
10543,1
4282,1
4019,0
4595,1
6456,0
10197,0
4884,0
10516,0
10617,1
3118,1
3379,1
9016,0
5007,0
4324,0
3510,0
3405,0
381,1
9565,1
9738,1
670,0
8356,1
7570,1
5118,1
11202,0
2716,1
4870,0
7548,0
2573,1
9021,0
7486,0
9085,1
10364,0
745,0
8668,1
10934,0
11069,0
10652,1
5427,1
4735,0
4109,1
4774,1
9943,0
1843,1
7829,0
5473,0
7490,1
6216,0
10378,1
3881,1
1443,1
2879,1
6210,0
3099,1
3388,1
8799,1
10889,1
5800,0
3857,1
6754,1
7960,0
5164,1
9279,0
7081,1
7318,1
4913,1
1180,0
9137,0
9357,1
8858,0
2203,0
6345,0
11087,1
10980,1
1044,0
3757,0
7967,1
6809,0
174,0
10155,0
4249,1
8368,1
3688,1
8960,0
5944,1
11158,1
396,0
8038,1
6366,0
11382,0
1134,1
1452,1
9183,0
808,0
10259,0
7289,0
2145,1
7714,1
3001,1
10014,1
9468,1
1424,0
10341,0
6478,0
2070,1
979,1
7674,1
7886,1
131,1
558,0
515,0
3493,0
3206,1
3798,1
6318,1
5226,1
10240,1
5459,0
3700,1
9097,1
10249,1
2284,1
5610,0
1006,1
10626,1
1336,0
3407,0
1063,1
8501,0
9412,0
3643,1
4578,1
4377,0
7527,0
4278,0
11153,1
1612,1
8258,1
8023,1
3742,0
7915,1
2620,1
6178,1
7936,0
3531,0
9069,0
9576,1
10942,1
7554,1
4046,0
10962,1
4058,0
7481,0
5700,0
649,0
8725,0
8642,0
10695,0
7771,1
3337,1
4799,0
871,1
2590,1
10287,1
8304,1
718,1
1730,1
5378,1
3027,1
7470,0
3170,1
3089,0
5106,0
10060,0
3703,0
4012,1
7342,0
8313,1
3113,1
4305,0
9148,0
4909,1
4165,0
991,0
7737,1
6197,1
1216,0
8746,0
3632,1
4976,0
10982,0
6779,1
2129,1
1734,0
4402,1
2659,0
3469,0
1356,0
258,0
7655,1
10156,1
5902,0
10824,0
1422,0
10672,1
7143,1
8339,1
6295,0
5694,0
1078,0
4594,0
5336,0
9418,0
63,1
2077,0
2943,0
7516,1
10893,0
6144,1
5015,1
9462,0
706,1
8438,1
8555,1
1720,1
9825,1
3274,0
3901,1
3410,0
4548,0
7389,1
2082,1
4897,1
10247,0
9999,1
5674,1
5284,1
1382,0
5567,0
2265,0
7741,0
10505,1
1305,1
10439,0
1383,0
8293,1
8674,1
7255,1
4449,1
8326,0
4244,0
4461,0
2554,1
9265,0
8565,1
4047,1
4445,1
30,1
163,0
6330,0
9956,0
6558,1
6422,0
9736,0
8316,0
1804,0
311,1
8255,1
9988,0
8126,0
4458,0
9526,1
10706,1
11374,1
675,0
7417,0
1370,0
10616,0
10513,0
477,1
3718,0
574,0
2794,0
5516,1
4878,1
3959,0
3918,1
1665,1
5570,1
6837,0
2787,0
4028,1
9901,0
6283,1
8762,0
11032,0
3140,1
6017,1
11019,1
9629,0
3989,1
5723,1
8002,0
8601,0
394,0
437,0
2261,1
1902,0
5794,0
2606,0
7367,0
10814,0
6312,1
10650,0
2531,1
3397,1
7748,1
6696,0
8471,0
4958,0
6107,0
6034,0
6970,0
591,0
4818,0
228,1
9214,1
10677,1
3676,1
4867,0
9552,0
1610,1
9721,1
3459,0
10770,1
2677,1
2848,0
5133,0
8680,1
767,0
9215,1
3315,1
8778,0
10368,1
7348,0
592,1
7228,0
8811,0
7842,0
3399,1
5560,1
6440,1
9995,1
5433,1
11002,1
9092,0
2462,1
5598,1
1671,1
3549,1
1030,0
9673,1
5870,1
907,1
9749,0
801,0
5549,1
1244,1
5663,1
7197,1
10787,1
6995,0
2300,1
8644,1
3504,0
3530,0
8001,1
8174,1
1413,1
72,1
7522,0
7048,1
5751,1
5372,0
445,0
729,1
8094,1
3673,1
9128,0
2223,0
3484,0
3697,0
10070,0
5737,0
7716,1
3034,1
3815,0
7252,1
685,0
4942,1
7742,0
507,0
8472,0
6568,0
4361,0
2253,0
1325,0
5934,1
11018,0
188,0
10875,0
5810,0
2043,1
6127,0
10825,1
11260,0
7556,1
10729,1
1431,1
7201,0
7063,1
10813,1
10745,0
1021,1
4074,1
9795,0
1346,1
2513,0
6598,0
6956,1
8307,1
6100,0
513,0
1160,1
10797,1
7237,1
8370,0
2583,0
7968,1
7335,0
1450,0
5442,1
6193,1
3495,1
7009,1
9260,1
5292,0
11022,0
2916,1
4039,0
7908,0
3884,1
8179,1
2868,1
2020,0
9590,1
9715,0
9113,0
11262,0
4983,1
1938,0
8575,1
4969,0
6245,1
3174,0
9023,0
3054,1
2352,1
3965,1
4880,0
5974,1
5200,0
7824,1
5019,0
6287,0
10171,0
10585,0
3452,1
6377,0
5543,1
2966,0
5436,1
3668,0
10829,0
947,1
5137,1
5883,1
9803,0
11209,0
7409,0
11226,1
1024,0
2000,1
6512,1
6067,1
3556,1
3244,1
7819,1
10817,1
8144,0
1570,1
10444,1
2622,0
5785,0
3247,0
5689,1
1945,1
1466,0
9651,0
5776,0
4486,0
5778,1
2604,1
6755,0
8317,0
4320,0
267,1
2109,1
1100,1
7039,1
9700,0
1611,1
10762,0
10764,1
10529,1
3974,1
3398,0
5905,0
4629,1
488,1
1328,0
8559,1
3838,0
7670,0
5386,0
4453,0
2755,0
7207,0
8254,1
2633,0
2092,1
2313,1
10093,1
5444,1
90,1
5559,1
9593,1
8689,0
9324,1
234,1
6174,1
1751,1
4999,0
10700,1
10789,0
10545,0
6518,0
5913,1
11061,1
5888,1
11096,1
7415,1
8815,1
5415,1
10917,0
73,0
7206,0
5319,1
9293,1
2724,0
10162,1
9360,0
8236,1
7877,1
5574,0
3889,1
7519,0
2007,1
3956,0
8167,1
890,0
11267,0
8290,0
3999,0
8338,0
5316,0
5860,1
9225,0
1540,1
6274,0
9209,1
9060,0
6924,1
6148,0
6652,0
11146,0
8296,0
11273,1
3829,0
4933,0
8157,1
1419,0
4649,1
10224,1
10862,1
1194,0
5369,0
8951,0
1554,1
2423,0
3985,1
6519,1
4286,0
4262,0
3063,0
4089,1
10657,1
4928,1
1790,0
1501,1
9974,1
2292,0
1159,0
51,0
923,0
6183,1
4730,0
3975,0
4805,1
10742,0
4408,0
5301,0
7892,0
9899,0
6238,1
4023,0
9083,1
4678,0
7601,1
1537,1
4354,0
1300,1
760,0
4375,0
2532,0
8,1
1663,1
2242,0
3935,1
9115,0
4982,1
9727,1
126,0
528,1
7446,0
9539,0
2741,0
2623,1
3867,0
7077,0
10147,0
1744,1
5728,0
4388,1
8419,1
3320,1
10317,0
9586,0
3735,1
8131,1
9615,0
5267,0
7860,1
3726,0
4682,0
4768,1
4213,1
3455,0
1731,0
850,0
8511,0
2194,0
10946,0
7055,0
3747,0
3736,1
3021,0
4277,0
9633,0
10387,1
6457,1
1910,1
4858,0
41,0
3876,0
8072,1
11310,1
2493,1
6300,1
6227,0
10057,1
6094,1
7230,0
928,1
5391,1
6845,1
9978,0
6280,1
9640,0
552,0
4122,0
11255,0
3615,1
4203,1
8233,0
107,0
7958,1
7571,0
412,1
9048,0
4073,0
4137,1
6271,0
794,0
6511,0
2817,1
1639,0
4173,1
2470,1
7698,1
9380,0
10428,1
9177,0
11243,1
8580,0
9636,1
5174,0
1213,1
7843,0
8734,1
6720,0
10431,0
1010,0
9801,1
11331,1
9437,0
1449,0
5435,0
6828,1
6606,1
4162,0
170,0
10525,1
133,1
9830,0
191,0
1363,1
7790,1
1088,0
8586,0
6874,0
1884,0
10372,0
9574,1
2850,0
6112,0
10697,0
9905,0
7314,1
2170,1
1362,0
182,0
10649,0
7686,0
6347,1
262,0
9543,0
9073,1
2084,0
2813,1
8737,1
60,1
7576,0
3406,0
4606,0
8894,0
3528,1
9329,1
3132,0
2364,0
11148,1
1872,0
6369,1
5298,1
128,0
1224,0
576,0
5381,1
1813,0
2039,1
9043,1
386,1
3035,1
8515,1
9315,0
5784,1
9527,0
7754,0
6011,0
10854,1
8962,1
5064,1
6502,1
5910,0
2746,1
2044,0
613,0
8441,0
8595,1
9939,0
6346,1
3377,1
2293,1
6200,0
11078,1
6208,1
219,0
9196,1
6653,0
9984,0
818,1
5385,0
10856,1
399,0
3987,1
479,1
1949,0
10738,0
834,0
9752,1
8604,1
9258,0
10136,1
1818,0
8116,0
9193,1
4652,0
4126,0
10011,1
10478,0
2133,0
4389,1
1794,1
2535,0
5886,1
6491,1
1495,0
8612,0
280,0
10556,1
5668,1
6237,1
9494,1
8207,0
8049,0
6157,1
4622,0
1918,0
1675,1
2727,0
422,1
7786,0
10040,1
10936,1
3356,1
5410,1
7890,0
547,1
10388,1
421,1
2893,0
9951,0
860,0
3720,1
5377,1
8140,0
9467,0
9642,1
8202,1
6396,0
4693,0
8194,1
1722,0
5985,0
2024,1
3230,1
4639,1
7743,1
4542,0
11168,0
2305,0
4761,0
9915,0
50,0
5501,0
2695,1
5454,0
9147,0
5724,0
431,1
5222,0
9282,0
6579,0
10400,1
6895,0
8803,0
433,0
9322,1
4347,0
9950,0
8686,0
7097,1
4737,1
7400,0
6175,0
5201,1
9236,0
7115,0
6627,0
6016,0
542,0
7082,0
2713,0
3933,1
4185,1
7016,0
8085,1
9446,1
5650,1
4721,0
2996,1
3317,0
136,0
1031,1
4529,0
7037,1
2873,0
8639,1
7708,1
2958,1
2506,1
3221,0
7126,0
10527,1
10381,1
6528,0
7744,0
11218,1
80,0
6792,0
6634,1
11015,1
10830,1
7491,1
6980,1
7730,1
2862,0
1580,1
6387,1
6761,0
1798,0
1240,0
7894,1
8606,1
9503,0
1255,1
1673,0
4614,1
5273,1
9367,1
5142,1
475,1
8593,0
2089,1
11010,1
1153,0
9325,0
3940,0
10909,0
9267,1
7939,0
4666,1
710,0
6787,1
10569,0
7189,1
5861,1
1018,0
1286,1
2262,1
11250,1
5465,1
4960,0
9498,1
10595,0
10939,1
1270,0
1347,0
8204,0
7461,0
10883,0
5102,0
6105,1
7333,0
9916,0
10621,1
3294,1
3638,0
6556,1
10300,0
3819,0
1498,0
1989,0
2712,1
4199,1
8378,0
5303,0
9924,0
8833,1
3682,1
9945,0
10955,1
3793,1
240,0
11296,0
8008,1
3750,1
8231,1
10886,1
10133,0
7220,1
6015,1
1662,0
8270,0
8622,1
11216,0
2349,1
6942,0
8012,1
8070,0
8909,1
10466,1
2196,0
9864,0
4358,1
10376,1
1710,0
1533,0
1939,1
9756,0
560,1
4020,0
2757,0
1597,0
6417,1
5620,1
7451,1
10058,1
1256,0
1940,1
4753,0
2939,0
8379,0
4747,0
10748,1
6790,0
2391,0
8667,0
1901,0
9747,0
4367,1
2104,1
3596,0
9475,0
2960,0
5803,1
2099,0
11081,1
2316,1
2279,0
223,0
3306,1
8277,1
7825,1
9555,1
207,0
4631,1
8653,0
8324,1
5627,1
9904,0
7751,0
1353,1
9522,1
3355,1
6324,0
6474,0
10838,1
3023,1
7864,0
10022,1
8344,1
3659,0
8101,1
6613,0
8953,0
2003,0
4587,0
3080,1
7379,0
4637,1
1579,1
10100,0
6801,0
7558,0
8096,1
5154,1
9350,0
388,0
7043,1
10337,1
4517,0
2971,1
2814,0
2742,1
3790,0
10497,0
7914,0
8543,0
8264,1
5248,0
3885,0
10977,1
6667,0
9785,0
10872,1
6485,0
7780,1
5853,1
6249,1
810,1
9559,1
7859,0
2378,0
3249,0
10342,0
9652,1
3058,0
1307,0
9554,0
7929,0
6085,0
1150,1
5351,1
6593,0
4341,0
10932,0
8396,0
8834,0
5661,0
7179,0
2911,1
1142,1
372,0
639,1
9837,1
1263,1
8729,1
10083,0
6878,1
8989,0
2552,1
9896,1
10118,0
1967,1
6304,0
124,0
5757,1
7442,1
9741,0
123,0
7113,0
5970,0
1825,0
6163,0
4130,1
10305,0
5311,1
6909,0
3282,0
5169,0
1082,0
11346,0
284,1
6690,1
6337,0
4615,0
6685,1
9587,1
1748,1
4788,1
9399,1
7291,1
7064,1
1750,0
9705,1
6469,1
10502,1
2344,0
2759,0
1770,0
2456,1
5099,0
7331,0
1096,1
330,1
8826,0
8295,0
6339,0
6292,0
7926,0
3199,0
9946,0
1827,0
227,0
5304,0
5419,1
5824,0
3762,0
10685,0
8053,0
2854,0
10017,0
5173,1
6756,1
10704,0
10490,0
5990,1
2197,1
8773,1
1962,0
6675,1
9822,0
8599,0
1315,0
8457,1
1852,0
7105,0
2652,0
7164,1
1385,1
8550,1
5290,1
916,1
6445,0
5275,0
7307,0
3503,1
6411,0
9581,0
2184,0
152,0
7624,0
1822,0
9630,0
10698,0
9451,1
7492,0
8919,0
843,0
4325,0
4264,1
5951,1
4850,0
4192,0
3719,1
4572,1
3357,1
7114,0
465,0
9124,0
274,0
10623,0
3512,1
9331,1
6059,1
2187,1
4751,0
2460,0
2176,0
10138,1
4819,0
2016,0
704,1
11189,1
4661,0
5339,1
4873,1
1976,0
7918,0
9401,1
7477,1
6711,1
7627,0
4064,1
2934,1
6771,0
5317,1
2304,0
8111,0
1461,1
7227,0
3448,1
5235,1
8535,1
5211,0
85,1
2299,1
2288,1
7123,0
766,0
400,1
10969,0
8428,0
6190,0
9291,1
2923,1
6844,0
7747,0
9930,1
4303,1
3764,0
1905,1
10307,0
6807,1
9170,0
3524,0
908,0
3541,1
5895,1
2171,1
7546,0
8476,1
3559,1
11038,0
9463,1
4383,0
9659,1
7012,0
2567,1
943,1
4536,0
9015,1
8029,0
10395,0
10808,0
1701,0
6400,0
382,0
8086,1
10605,0
9421,1
8017,1
9203,1
10720,0
9189,1
6181,1
3252,1
3810,0
9230,1
4574,0
1958,0
5898,0
1741,1
1296,1
1351,0
10908,1
11354,0
3190,1
5176,0
1230,1
10495,1
8788,0
5489,0
799,0
331,1
2342,1
8337,0
109,1
8218,1
11004,1
6570,0
8512,1
4142,0
11122,0
3163,1
5527,1
9520,0
4197,0
4225,0
10956,0
6434,0
7030,1
10870,0
205,1
4369,1
6433,0
1404,1
3353,1
10228,0
59,0
1528,0
9934,1
2927,1
2487,1
8402,0
9638,0
6719,1
9566,1
2432,0
5658,0
10358,0
8582,0
2644,1
9224,0
4096,1
4592,1
1090,1
7518,0
2373,1
11039,1
9829,1
1743,0
9314,1
6120,1
4180,0
10174,0
5524,0
1462,1
2400,1
9728,0
10203,0
409,1
7440,1
4350,1
10805,0
11003,1
210,0
4500,1
10988,1
363,0
11285,0
8486,0
5807,1
5150,1
8429,1
10521,0
7215,0
2251,0
10795,0
5749,0
7083,0
6267,1
3872,0
1267,0
9241,1
1880,1
9223,1
7957,0
1895,0
8414,1
9764,1
1728,0
6838,0
9213,0
8688,0
1563,0
9973,1
11241,0
2538,1
682,1
1458,1
2561,1
4683,1
8245,1
4492,1
2335,0
8881,0
1803,0
4316,0
3864,1
11280,1
7414,0
2749,1
1442,1
3917,0
11140,0
3288,0
2141,1
5084,0
6319,1
6654,1
10430,0
9101,0
2707,0
3476,0
10816,1
6276,0
1085,1
5218,1
6615,0
9845,0
3706,1
6931,0
5904,0
4929,0
7018,1
8528,1
2427,1
11380,1
9598,0
8095,1
11025,1
10831,0
4625,1
8570,0
3462,1
4672,0
2562,0
471,1
7324,1
7931,1
7610,0
4852,0
1607,0
7103,0
8039,1
982,1
7612,1
8063,1
6307,1
8518,0
4987,1
10433,0
7659,0
5514,1
4589,1
2449,1
9341,0
7651,1
5638,1
1507,0
5437,1
251,0
4766,1
2399,1
9448,1
5622,1
5166,1
314,1
10554,0
6687,0
10500,1
10346,0
4183,1
10952,1
4577,0
4038,1
3805,1
2045,1
2149,1
6420,1
10154,1
5503,0
10779,1
4233,1
10266,0
8996,0
9702,0
2564,1
9507,0
10488,0
927,1
2281,1
5424,0
3289,0
8514,0
2704,0
9089,1
3537,0
9500,0
7293,0
5180,1
4139,1
5198,0
4670,0
7922,1
3044,1
4150,0
7462,0
6966,1
4348,0
4057,1
9683,1
6972,0
8453,1
9521,1
8695,0
9192,1
5602,0
9774,0
4175,0
2772,0
3952,1
4386,0
7375,0
10253,1
5498,0
6729,0
3640,0
91,0
7381,1
5851,0
8465,0
5843,0
5885,0
973,1
4363,1
460,1
9131,0
6057,0
10207,0
5628,0
4107,0
5461,1
8638,1
841,1
5544,1
10645,1
4896,0
11094,1
8197,0
8560,0
1849,0
348,1
3929,0
8662,0
10848,0
1877,0
7559,1
1972,1
7840,1
6669,0
8940,1
26,1
4013,1
7611,1
2479,1
265,1
7266,0
3226,0
3841,1
2950,1
5709,1
7317,1
11012,0
6030,1
4838,0
8823,0
3522,0
447,0
7305,0
5107,0
7322,1
6373,1
648,1
1057,0
10631,1
5647,0
4091,1
8009,1
7585,1
3017,1
1553,1
8775,1
6988,1
7270,1
10279,0
2799,1
7259,0
10066,0
6269,0
6390,0
1276,0
168,0
10747,1
8992,0
7498,1
554,1
6379,0
9365,1
11156,1
7453,0
6393,0
6415,0
646,1
3447,1
4113,0
7306,1
3971,1
9212,0
6406,1
10727,1
6985,0
4962,0
3817,0
4312,0
2931,1
5534,0
9993,1
9080,0
2108,0
4428,0
4302,1
7127,1
5963,0
6452,1
7625,0
1095,1
10654,0
5953,0
10906,1
2872,1
931,0
8824,0
4263,1
4093,0
1163,0
6840,1
5537,0
2436,0
10394,1
3837,1
8386,0
9007,1
4366,1
3194,0
3362,1
9900,0
2710,0
9672,0
2913,0
7956,1
9977,0
622,1
338,0
7150,1
5690,1
7750,0
9960,1
7619,0
1103,1
1547,1
6651,0
5741,0
5802,1
7125,0
6182,1
5542,1
10432,0
8632,0
11286,1
8030,1
8303,1
7036,0
2417,1
6996,1
2131,0
2332,1
9233,1
10296,1
5483,0
7346,0
5146,1
10660,0
8006,1
8694,0
3622,1
3631,0
8563,0
1417,0
8240,1
403,0
5321,0
3248,1
1645,0
2793,1
9765,1
11190,0
10476,1
7180,1
5756,0
2228,1
3532,1
10755,1
5046,1
4094,0
6818,1
4522,0
8241,1
3713,1
6087,1
5949,1
3672,0
11257,0
5639,1
3472,1
432,1
271,0
5550,1
4410,0
7567,0
4416,1
7510,1
3426,1
8968,0
9635,1
3666,1
6817,1
7535,1
5,0
2876,0
10059,0
5626,0
3822,1
6044,0
1032,0
6658,1
10140,1
2997,1
3552,1
7803,1
995,0
2173,0
3653,0
98,1
10760,0
6335,1
2786,1
1266,1
1923,0
10096,0
1189,1
10931,1
130,0
10194,1
2829,1
5246,0
4903,1
10145,1
165,1
11324,1
522,0
5599,0
6177,1
9169,0
10841,0
2536,1
8507,1
9417,0
3667,0
608,0
9005,0
1576,0
6313,0
9730,0
10166,0
4076,1
3921,1
3259,1
2778,1
454,0
2001,0
11318,0
9385,1
7068,0
2207,1
11066,0
4154,1
11167,1
5060,1
10158,1
8506,0
3546,1
5266,1
4707,1
2539,0
8709,1
8160,1
695,0
758,0
1121,0
902,1
6902,0
778,1
9219,0
2789,0
389,0
6123,1
4758,1
9030,1
6290,0
4888,1
11171,1
4917,0
6362,1
6195,1
7994,0
11107,0
1875,1
9849,1
3765,1
28,0
5260,0
5906,1
734,1
8726,0
1427,1
6041,0
3712,0
10532,1
10220,1
1520,0
7344,1
2156,1
1755,0
733,1
9516,0
9243,0
1226,0
10080,1
7026,0
3834,0
2234,1
6520,0
3547,0
1621,1
10584,0
1996,1
5612,0
4340,1
4102,1
10822,0
6989,1
11414,0
624,1
2062,0
3687,1
3105,1
6442,0
367,1
2163,1
4552,0
7528,1
945,1
3150,0
2439,1
4202,0
5703,1
6673,1
9307,0
3634,0
11246,1
3019,0
4775,0
4149,0
127,0
11295,1
4021,0
9152,1
906,0
5051,0
8539,0
8383,1
6092,1
3733,1
383,1
6334,0
1912,0
2290,0
5685,1
8607,1
9347,1
8487,1
11232,1
3402,1
384,0
8907,0
929,1
9274,1
6822,1
4956,0
7685,0
5074,0
807,1
4395,0
857,1
7991,0
6883,0
5809,0
2732,0
6121,1
6855,1
7720,0
5859,1
4474,1
780,0
9327,0
3874,1
3555,1
2032,0
4568,0
942,1
5428,0
8146,1
7310,1
1054,1
4750,1
10662,1
10534,1
7849,0
5234,1
1709,1
10620,0
25,0
11031,0
9784,0
4857,0
10009,0
6857,1
10209,1
5829,0
8362,0
11388,0
8191,0
3776,1
11333,0
10731,0
2859,1
1360,0
6446,1
6550,1
749,0
4820,1
10468,1
1181,0
7142,1
8171,0
10229,0
8921,1
5520,1
5999,0
10088,1
5072,1
4571,1
3770,1
8975,1
6945,1
7621,0
8301,1
1262,0
854,1
10173,1
7928,1
2678,0
5041,0
3792,1
9091,1
3739,0
1198,0
6760,1
5584,1
179,0
6222,1
3276,1
8440,1
11176,1
4095,1
10114,0
10248,1
7865,0
8937,0
2810,0
1268,1
8513,1
10721,1
7241,1
9071,0
10599,1
10272,1
397,0
1329,0
7391,0
9592,0
5993,1
8730,1
12,1
9242,0
4694,1
357,1
7464,0
9991,1
3961,0
9664,0
10457,1
2593,0
3645,1
8952,0
4790,0
9127,0
9364,1
3167,0
4401,0
5828,1
5956,1
2788,1
2551,1
5280,0
3814,1
4349,1
11230,1
6118,0
8162,0
6341,1
444,0
10345,0
1330,1
8494,1
10807,0
4713,0
7286,0
7668,0
2055,1
7692,1
6372,0
1982,1
1724,1
1774,1
9055,0
9877,0
7433,1
8206,0
9982,1
8298,1
5187,1
5018,1
3142,1
3313,0
6926,1
9628,1
8389,0
9042,0
10193,1
9122,1
7941,1
5082,0
5540,0
526,0
10246,1
7660,0
1968,1
352,0
3553,1
2431,1
9025,1
2015,1
6842,0
5903,1
1196,0
3263,0
11306,1
2492,0
604,0
1689,1
2665,1
10578,1
5777,0
5053,1
10895,1
2190,0
8880,0
443,1
7404,1
8890,0
3988,1
10344,1
334,1
5594,0
6091,0
1521,1
1072,0
102,1
7100,0
4310,0
1225,1
9929,0
9157,1
6416,0
9297,1
296,1
7277,1
6672,0
2286,1
6432,1
11051,1
6616,0
7895,0
2728,1
481,1
5696,1
3300,1
1721,1
2179,0
5190,1
8796,0
9112,0
9528,1
6636,1
10297,0
5160,0
2929,1
1132,1
8733,0
464,0
10991,0
3869,0
8781,1
1192,1
2991,1
6150,0
11413,0
1659,0
3664,0
1201,0
8524,0
8346,0
4767,1
10715,1
2797,0
9967,1
7989,1
6834,1
10810,1
4033,1
6659,1
7620,1
7320,1
6782,0
5469,1
2576,0
6505,1
3602,1
1000,0
6759,0
7092,0
6152,0
10671,1
9556,1
7724,1
9058,1
9509,1
7132,1
9667,1
266,1
6464,1
5931,0
2928,0
10765,0
3609,0
10172,1
11408,0
1616,1
3106,0
11185,0
8613,1
4240,0
2235,0
2237,1
1952,0
7909,1
3006,1
1900,0
891,1
10025,0
8401,1
5530,1
10056,0
8497,1
11050,0
8706,1
9639,1
4859,1
3421,1
6212,1
5565,0
5529,0
6543,0
1111,1
5762,1
5925,0
10504,1
5413,1
8377,0
482,1
5596,1
206,1
3554,1
1327,0
10347,0
1440,0
3090,1
1050,1
4910,1
4211,0
8269,0
283,0
11194,0
1476,0
3209,1
6001,0
5643,0
5697,1
5775,1
4537,1
9776,0
4875,0
7973,1
7155,1
4743,1
5179,1
732,1
450,0
5850,0
4525,1
5572,0
10288,1
2852,1
10826,1
6003,1
6009,1
2067,0
7542,1
7974,0
3182,0
6078,0
8455,0
8938,1
10897,1
4123,0
2397,1
6072,1
8249,1
3675,0
5104,0
8654,1
4441,0
336,1
2384,1
3816,0
6799,1
285,1
423,0
4950,1
7728,1
2105,1
5153,1
5155,1
10901,1
5884,1
4407,1
2545,1
2699,0
7537,0
9038,0
5672,0
2870,0
11043,1
7893,0
3164,0
2320,1
3806,0
3868,0
4712,1
6256,1
9602,1
7827,0
5254,0
4985,1
6104,0
517,1
5894,1
9078,1
922,1
3649,0
5779,1
1526,1
4544,0
5747,1
8784,0
6063,1
1739,0
9429,1
583,1
62,1
11118,1
6230,1
9011,0
8363,0
10846,0
3363,0
184,0
1275,0
67,1
9744,1
7434,1
7401,1
8306,0
8463,1
5113,1
3339,0
7390,1
5039,1
978,1
9340,0
8865,1
2006,1
4920,0
5592,1
10510,0
6529,0
8219,1
8177,0
4468,0
11080,1
2681,0
3020,0
2448,1
1242,0
6561,0
7218,0
8285,0
3996,1
11422,1
6692,0
5969,0
3922,0
10849,1
5346,0
2148,0
10150,1
4556,1
7338,0
3314,0
10365,1
8971,0
559,1
2785,0
11024,1
4776,0
3152,1
9181,0
11184,1
4230,1
3912,1
8932,0
2086,0
5367,0
3050,1
6398,0
7154,0
4497,0
5566,0
1141,1
7487,1
10639,0
6381,0
4307,1
4527,1
9533,1
8034,1
