,ip,nb_www,phish_hints,nb_hyperlinks,domain_in_title,domain_age,google_index,page_rank,digit_ratio_url,digit_ratio_hostname
10597,0,1,4,1,1,5758,1,1,0.0,0.0
1105,0,0,0,822,0,7131,0,7,0.0,0.0
6299,0,1,0,809,0,4502,0,3,0.0,0.0
1499,0,0,2,8,1,1157,1,2,0.0,0.0
2743,0,1,0,27,1,1734,1,3,0.0,0.0
6477,0,1,1,33,1,2105,1,0,0.0,0.0
1812,0,1,0,13,1,6474,0,10,0.0,0.0
2608,0,1,0,37,0,4056,0,4,0.0,0.0
9017,0,0,0,4,1,6801,0,4,0.0,0.0
1649,0,0,1,19,1,6391,1,1,0.0,0.0
2610,1,0,0,51,1,3993,1,0,0.14285714285714285,0.14285714285714285
2366,0,0,0,0,1,8416,1,2,0.06153846153846154,0.06153846153846154
1908,0,0,0,0,1,0,1,0,0.029411764705882353,0.029411764705882353
8878,1,0,1,8,1,5160,1,5,0.16666666666666666,0.16666666666666666
6605,0,1,0,96,0,9202,0,6,0.0,0.0
10221,0,0,0,25,1,7491,0,10,0.0,0.0
10262,0,0,1,41,1,-1,1,0,0.05405405405405406,0.05405405405405406
2692,0,1,0,13,1,182,1,4,0.0,0.0
64,0,0,0,0,1,5614,0,5,0.14285714285714285,0.14285714285714285
4834,0,0,0,148,1,4573,0,3,0.0,0.0
7279,0,1,0,35,1,-1,0,1,0.0,0.0
3011,0,0,0,0,1,5612,1,5,0.14634146341463414,0.14634146341463414
9963,0,1,0,46,1,7780,0,5,0.1282051282051282,0.1282051282051282
6614,0,0,0,100,0,7132,0,7,0.0,0.0
1718,0,1,3,4,1,157,1,0,0.0,0.0
7871,0,1,0,180,0,8145,0,6,0.0,0.0
3092,0,1,0,33,1,2687,0,4,0.0,0.0
2816,0,1,0,151,0,5534,0,3,0.0,0.0
8825,0,0,1,13,1,5451,1,4,0.02702702702702703,0.02702702702702703
5801,0,1,0,19,1,4326,0,3,0.02040816326530612,0.02040816326530612
7262,0,0,0,4,1,-1,1,0,0.037037037037037035,0.037037037037037035
1536,0,0,0,14,1,7295,1,5,0.034482758620689655,0.034482758620689655
1841,0,0,0,199,0,11083,0,6,0.0,0.0
8888,0,1,0,53,1,8520,0,10,0.0,0.0
9989,0,0,0,0,1,4778,1,2,0.0,0.0
2689,0,1,0,43,0,8339,0,5,0.0,0.0
2127,0,1,0,35,1,6791,0,3,0.0,0.0
693,1,0,1,18,1,1244,1,0,0.2550335570469799,0.2550335570469799
4716,0,1,0,56,1,7310,0,4,0.0,0.0
4418,0,1,0,40,0,-1,0,5,0.0,0.0
955,0,1,0,226,1,6259,0,6,0.0,0.0
5531,0,1,0,149,1,2924,0,2,0.0,0.0
1497,0,1,1,0,1,1561,1,0,0.0,0.0
10519,0,0,2,139,1,-1,1,0,0.0,0.0
8558,0,1,0,561,1,8207,1,5,0.0,0.0
538,1,0,0,5,1,7296,1,5,0.32,0.32
10438,0,0,1,34,1,2033,0,4,0.125,0.125
9681,0,0,0,152,0,7133,1,7,0.0,0.0
3394,0,1,1,8,0,125,1,3,0.024242424242424242,0.024242424242424242
9166,0,0,1,30,1,8922,1,3,0.0,0.0
1260,0,0,0,0,1,4633,1,0,0.0,0.0
3279,0,1,1,0,1,-1,0,4,0.06779661016949153,0.06779661016949153
5408,0,0,0,8,1,1953,1,3,0.06451612903225806,0.06451612903225806
3748,1,1,4,4,1,2618,1,0,0.16176470588235295,0.16176470588235295
2970,0,1,0,55,0,8203,1,6,0.0,0.0
2476,0,1,0,197,0,163,0,4,0.0,0.0
9921,0,1,1,93,0,3710,1,4,0.0,0.0
5225,1,0,1,7,1,7967,1,2,0.3233082706766917,0.3233082706766917
3709,0,0,0,0,1,7574,0,5,0.0,0.0
11090,0,0,0,284,1,6070,0,5,0.0,0.0
10927,0,0,0,6,1,-1,1,1,0.0,0.0
811,0,0,1,12,1,235,1,0,0.0,0.0
6285,0,0,0,7,1,2155,0,0,0.0,0.0
824,0,1,0,11,1,2426,0,2,0.0,0.0
10766,1,1,2,6,0,1601,1,0,0.2112676056338028,0.2112676056338028
3042,0,0,0,0,1,560,1,2,0.0,0.0
5496,0,1,0,120,0,9088,0,1,0.06557377049180328,0.06557377049180328
8035,0,1,1,142,1,7417,1,3,0.0,0.0
588,0,1,0,93,0,7461,0,4,0.0,0.0
8986,0,0,0,96,0,2344,1,2,0.023809523809523808,0.023809523809523808
5491,0,1,0,23,1,8718,0,3,0.0,0.0
6871,0,1,3,0,1,6302,1,2,0.0,0.0
8051,0,0,0,112,0,-1,0,3,0.0,0.0
8755,0,1,0,65,1,2221,0,4,0.0,0.0
7334,0,1,0,53,1,5394,0,5,0.0,0.0
8431,0,0,0,747,0,7131,0,7,0.1111111111111111,0.1111111111111111
2429,0,0,0,78,1,7619,0,5,0.0,0.0
6027,0,1,1,0,1,7,1,0,0.0,0.0
10460,0,0,0,56,1,7449,0,8,0.0,0.0
1019,0,0,1,17,1,-1,1,1,0.0196078431372549,0.0196078431372549
1824,1,0,2,97,1,1109,1,0,1.8764044943820224,1.8764044943820224
10204,0,1,0,25,1,3727,0,2,0.0,0.0
6191,0,0,1,85,0,9052,0,7,0.08928571428571429,0.08928571428571429
10625,0,1,0,76,0,8892,0,4,0.0,0.0
10483,0,1,0,105,1,-1,0,4,0.0,0.0
4304,0,0,1,6,1,6362,1,0,0.0,0.0
4964,1,0,0,0,1,5784,1,4,0.45454545454545453,0.45454545454545453
10087,0,0,0,31,1,-1,1,0,0.0,0.0
1585,0,1,0,99,1,3505,0,2,0.0,0.0
2475,0,1,1,5,0,2484,1,0,0.0,0.0
4968,1,0,1,21,1,-1,1,0,0.3333333333333333,0.3333333333333333
5240,0,0,1,15,1,847,1,0,0.0,0.0
448,0,1,0,80,0,852,1,2,0.0,0.0
9588,0,0,0,624,0,7130,1,7,0.0,0.0
8763,0,1,0,147,0,9201,0,6,0.0,0.0
8657,0,1,0,98,0,-1,0,2,0.0,0.0
2992,0,0,0,25,1,7490,0,10,0.041666666666666664,0.041666666666666664
3171,0,0,0,28,1,-1,1,0,0.022727272727272728,0.022727272727272728
6236,1,0,0,51,1,3992,1,0,0.19811320754716982,0.19811320754716982
8757,0,0,0,43,0,9874,1,5,0.03125,0.03125
2218,0,1,0,274,1,8469,0,4,0.0,0.0
11017,0,1,0,101,0,6321,0,5,0.0,0.0
1634,0,1,0,66,0,330,1,0,0.0,0.0
1686,0,0,1,22,1,5627,1,5,0.05555555555555555,0.05555555555555555
11,0,1,0,88,1,7911,0,6,0.22857142857142856,0.22857142857142856
5140,0,0,1,47,1,1950,1,1,0.05714285714285714,0.05714285714285714
7071,0,0,0,0,1,7856,1,4,0.058823529411764705,0.058823529411764705
5139,0,1,1,220,1,4097,1,3,0.0,0.0
7629,0,0,0,87,1,326,1,0,0.0,0.0
17,0,0,0,23,1,2316,1,0,0.06382978723404255,0.06382978723404255
6171,0,0,0,222,1,8217,0,8,0.0,0.0
467,0,1,0,247,0,5883,0,6,0.0,0.0
9908,0,1,0,134,1,-1,0,2,0.0,0.0
321,0,0,0,81,1,7296,0,5,0.0,0.0
8403,0,1,0,36,0,-1,0,6,0.09722222222222222,0.09722222222222222
4412,0,0,0,23,1,4202,1,0,0.0,0.0
5679,0,1,0,189,1,6326,0,4,0.09523809523809523,0.09523809523809523
10858,0,0,0,4,1,1834,1,0,0.367816091954023,0.367816091954023
6906,0,0,0,0,1,554,1,0,0.23255813953488372,0.23255813953488372
5223,1,1,0,30,1,5767,1,2,0.22727272727272727,0.22727272727272727
7943,0,0,0,0,1,-1,1,0,0.0,0.0
8151,0,1,0,144,0,4044,0,3,0.0,0.0
5347,0,1,0,113,0,3484,0,4,0.0,0.0
4273,0,1,0,52,0,5639,0,10,0.075,0.075
4220,0,0,0,164,1,7159,1,3,0.16216216216216217,0.16216216216216217
6715,0,0,0,0,1,2986,1,0,0.2222222222222222,0.2222222222222222
11221,0,0,0,168,1,-1,0,2,0.0,0.0
8923,0,0,0,130,1,7159,0,3,0.13513513513513514,0.13513513513513514
5911,1,0,0,0,1,5233,1,3,0.6176470588235294,0.6176470588235294
6649,0,0,1,0,1,7,1,0,0.0,0.0
5755,1,0,0,270,1,10677,1,8,0.14545454545454545,0.14545454545454545
887,0,0,1,30,1,8347,1,10,0.08791208791208792,0.08791208791208792
9524,0,0,1,30,1,8347,1,10,0.125,0.125
3828,0,0,0,0,1,2729,1,0,0.0,0.0
9424,0,1,0,68,1,-1,0,6,0.1,0.1
6526,0,1,0,224,1,4911,0,4,0.0,0.0
2359,0,1,0,51,0,-1,0,3,0.0,0.0
5245,0,0,0,22,1,5626,1,5,0.05357142857142857,0.05357142857142857
676,0,1,0,66,1,4323,0,5,0.0,0.0
10670,1,1,0,0,1,534,1,1,0.35,0.35
10957,0,1,0,5,0,1509,0,3,0.0,0.0
950,1,0,2,3,0,5521,1,0,0.3360655737704918,0.3360655737704918
5376,0,0,0,156,0,7134,0,7,0.0,0.0
6023,0,0,0,831,0,7131,0,7,0.0,0.0
5754,0,0,0,7,1,8018,1,4,0.06766917293233082,0.06766917293233082
6316,0,1,0,12,1,-1,0,3,0.0,0.0
8526,0,1,0,20,1,6331,0,4,0.0,0.0
10686,0,1,0,17,0,7419,0,7,0.029850746268656716,0.029850746268656716
2937,0,1,0,269,1,6820,0,4,0.0,0.0
3087,0,1,0,84,1,5839,0,2,0.0,0.0
861,1,1,0,78,1,152,1,0,0.4807692307692308,0.4807692307692308
8677,1,0,0,4,1,4003,1,0,0.21153846153846154,0.21153846153846154
9358,1,1,2,0,1,-1,1,0,0.2919254658385093,0.2919254658385093
6869,0,0,0,87,1,3573,0,6,0.0,0.0
7858,0,1,0,36,0,9984,1,4,0.0,0.0
4372,0,1,0,16,0,-2,0,3,0.0,0.0
3318,0,0,0,82,0,-1,0,9,0.10526315789473684,0.10526315789473684
5920,0,1,0,9,1,867,0,0,0.35294117647058826,0.35294117647058826
176,0,0,0,57,1,4183,1,3,0.14634146341463414,0.14634146341463414
3100,0,1,0,56,1,5067,0,6,0.07692307692307693,0.07692307692307693
4405,0,1,0,49,1,5001,0,3,0.0,0.0
9612,0,1,0,83,1,5812,0,5,0.0,0.0
6791,1,0,0,4,1,16,1,0,2.6216216216216215,2.6216216216216215
3372,0,0,0,0,1,2254,1,0,0.06060606060606061,0.06060606060606061
4256,0,1,0,71,1,5826,0,5,0.08771929824561403,0.08771929824561403
9391,0,1,0,165,0,2437,0,4,0.0,0.0
8168,0,1,1,9,0,5514,0,4,0.0,0.0
10573,0,1,0,53,1,5995,0,4,0.0,0.0
7916,0,0,0,7,1,-1,1,9,0.047619047619047616,0.047619047619047616
4609,0,0,0,239,1,7821,0,3,0.0,0.0
7347,0,1,0,24,0,5409,0,6,0.13333333333333333,0.13333333333333333
1097,0,1,0,79,1,5936,1,3,0.0,0.0
10371,0,1,0,82,0,7412,0,5,0.0,0.0
9834,0,0,1,8,1,-1,0,0,0.0,0.0
4308,1,0,0,4,1,4003,1,0,0.25,0.25
5135,0,1,0,0,1,4265,1,2,0.038461538461538464,0.038461538461538464
10236,0,0,0,112,1,7724,0,4,0.0,0.0
3826,0,0,0,0,1,4886,1,4,0.0,0.0
9095,1,0,0,18,1,523,1,0,0.6417910447761194,0.6417910447761194
4447,0,0,0,3,1,4823,1,2,0.0,0.0
4222,0,0,0,83,1,5613,1,5,0.0,0.0
8534,0,0,0,21,1,5616,1,5,0.017241379310344827,0.017241379310344827
3641,0,1,0,105,0,2485,0,2,0.0,0.0
5732,0,1,0,106,1,7668,0,6,0.0,0.0
4863,0,0,0,71,1,7298,0,5,0.0,0.0
977,0,1,0,41,1,1654,1,3,0.0,0.0
8260,0,0,0,8,1,7,1,0,0.14814814814814814,0.14814814814814814
9366,0,0,0,18,1,204,0,0,0.0821917808219178,0.0821917808219178
7054,0,1,0,28,1,-1,0,4,0.0,0.0
7233,0,1,0,53,1,5034,1,2,0.0,0.0
5506,0,1,0,34,1,2055,0,3,0.0,0.0
8175,0,0,0,12,1,5707,1,1,0.0,0.0
856,0,1,0,26,1,2467,0,4,0.0,0.0
9816,0,1,0,155,1,2917,0,6,0.0,0.0
5717,0,1,0,34,1,3795,0,5,0.0,0.0
4959,0,1,1,5,1,5230,1,0,0.0,0.0
6597,1,0,0,30,1,-1,1,0,0.3108108108108108,0.3108108108108108
2270,0,1,0,65,1,6036,1,5,0.0,0.0
8185,1,0,0,64,1,3205,1,0,0.359375,0.359375
7761,0,0,0,23,1,2619,0,4,0.1,0.1
8715,0,0,3,22,1,397,1,0,0.0,0.0
6860,0,1,0,80,1,2137,1,4,0.05660377358490566,0.05660377358490566
1867,0,0,0,20,1,-1,1,0,0.045454545454545456,0.045454545454545456
2231,0,1,0,432,1,-1,0,5,0.0,0.0
4921,0,1,0,65,1,4079,0,5,0.0,0.0
2125,0,0,0,1,1,7083,1,3,0.06493506493506493,0.06493506493506493
8804,0,0,0,8,1,5158,0,8,0.1,0.1
6288,0,0,0,7,0,-1,1,2,0.0,0.0
10392,0,1,0,213,0,-1,0,6,0.0,0.0
4809,1,0,0,51,1,3992,1,0,0.1651376146788991,0.1651376146788991
10539,0,1,0,132,1,5391,0,5,0.0,0.0
5718,1,0,2,1,1,-1,0,9,0.14035087719298245,0.14035087719298245
5585,0,1,0,12,1,2406,0,4,0.0,0.0
11323,1,0,0,51,1,3992,1,0,0.2553191489361702,0.2553191489361702
3628,0,1,0,210,1,-1,0,1,0.0,0.0
6820,1,1,3,178,0,5590,1,3,0.3253968253968254,0.3253968253968254
2088,0,0,0,25,1,7491,1,10,0.0,0.0
957,0,0,0,59,0,-1,0,2,0.0625,0.0625
2428,0,0,0,0,1,-1,1,0,0.0,0.0
11073,0,0,0,339,1,3647,0,5,0.0625,0.0625
1174,0,1,1,0,1,5088,1,0,0.0,0.0
4505,0,1,0,137,0,5997,0,7,0.0,0.0
4881,0,1,0,244,1,4472,0,2,0.0,0.0
11269,0,0,0,0,1,4778,1,2,0.0,0.0
3893,0,0,0,0,1,7847,1,4,0.13157894736842105,0.13157894736842105
8007,0,0,1,121,1,687,1,0,0.05063291139240506,0.05063291139240506
921,0,0,0,160,1,1546,1,2,0.08108108108108109,0.08108108108108109
754,0,0,0,54,1,7477,1,5,0.06097560975609756,0.06097560975609756
6921,1,0,1,1,1,7588,1,6,0.27184466019417475,0.27184466019417475
9745,0,1,1,93,0,9091,0,4,0.0,0.0
10646,0,1,0,244,1,6220,0,4,0.0,0.0
5008,0,0,0,230,1,6434,0,5,0.0,0.0
8319,0,1,0,317,0,8960,0,6,0.0,0.0
3200,0,1,0,40,1,6124,1,5,0.0,0.0
2548,0,1,0,83,0,5365,0,5,0.0,0.0
4052,0,0,0,137,1,7805,0,5,0.0,0.0
5973,1,1,0,51,1,3992,1,0,0.17475728155339806,0.17475728155339806
6021,0,1,0,100,1,8350,0,6,0.0,0.0
1763,0,1,0,82,0,-1,0,2,0.0,0.0
10326,0,0,0,0,1,-1,1,2,0.0,0.0
3143,1,0,0,158,1,5797,1,7,0.09722222222222222,0.09722222222222222
3891,1,1,0,33,1,2105,1,0,0.24691358024691357,0.24691358024691357
6745,0,1,0,61,1,4913,0,3,0.0,0.0
3273,0,1,4,46,1,4325,1,1,0.0390625,0.0390625
7851,0,1,0,59,0,8165,0,4,0.0,0.0
1622,0,0,0,11,1,8019,1,4,0.07407407407407407,0.07407407407407407
8422,0,0,0,144,1,7120,1,4,0.04,0.04
1115,0,1,0,662,0,1774,0,3,0.0,0.0
2750,0,1,0,69,1,2168,0,2,0.0,0.0
4247,1,0,0,11,1,8018,1,4,0.225,0.225
9040,0,0,2,9,1,1905,1,0,0.007194244604316547,0.007194244604316547
4971,0,0,0,324,1,8415,0,5,0.0,0.0
10304,0,0,0,185,1,3139,1,3,0.02040816326530612,0.02040816326530612
1760,0,0,0,21,1,5614,1,5,0.06060606060606061,0.06060606060606061
1618,0,0,0,5,1,12350,0,5,0.0,0.0
8882,0,0,0,40,0,-2,0,0,0.05,0.05
4351,0,1,0,175,0,6311,0,4,0.0,0.0
7980,0,1,0,79,0,-1,0,2,0.0,0.0
4934,0,1,0,39,1,5421,0,2,0.0,0.0
3943,0,0,0,439,1,6474,0,4,0.08823529411764706,0.08823529411764706
774,0,0,0,5,1,4400,1,4,0.0759493670886076,0.0759493670886076
7992,0,0,0,135,0,2348,1,2,0.02564102564102564,0.02564102564102564
4152,0,0,0,26,1,8019,1,4,0.13333333333333333,0.13333333333333333
536,0,1,0,75,1,-1,0,5,0.02857142857142857,0.02857142857142857
5178,1,0,0,1,1,-1,1,0,0.33043478260869563,0.33043478260869563
511,1,1,3,21,1,-1,1,0,0.042440318302387266,0.042440318302387266
9172,0,1,1,74,1,3952,0,4,0.0,0.0
4930,1,0,0,31,0,1015,1,2,0.39215686274509803,0.39215686274509803
1285,0,1,0,260,0,6840,0,5,0.0,0.0
651,0,1,0,105,0,7522,0,5,0.0,0.0
5397,0,0,0,3,1,1548,1,2,0.034482758620689655,0.034482758620689655
761,0,1,0,91,0,-1,0,3,0.0,0.0
6778,0,1,0,1,1,7087,1,3,0.012121212121212121,0.012121212121212121
10119,0,1,0,78,1,4392,0,2,0.0,0.0
7997,0,1,0,13,0,85,0,0,0.0,0.0
5957,0,0,2,5,1,2660,1,4,0.24056603773584906,0.24056603773584906
7475,0,0,2,3,1,2694,0,4,0.09109730848861283,0.09109730848861283
8057,1,1,0,0,1,9098,1,5,0.42424242424242425,0.42424242424242425
6024,0,1,0,0,1,2307,1,0,0.0,0.0
9082,0,1,1,87,1,681,1,0,0.0,0.0
4789,0,0,0,1,1,6452,1,0,0.0847457627118644,0.0847457627118644
8651,0,1,0,178,0,-1,0,5,0.0,0.0
9168,1,0,0,179,1,5484,0,6,0.11578947368421053,0.11578947368421053
7667,0,1,0,62,1,2968,0,4,0.0,0.0
650,0,0,0,82,0,-1,1,9,0.0,0.0
7853,1,0,0,259,0,3826,1,0,0.19,0.19
6777,0,0,0,7,1,8347,1,10,0.10344827586206896,0.10344827586206896
2747,0,0,0,1,1,-1,1,0,0.0,0.0
11268,0,1,0,0,1,110,0,0,0.0,0.0
11344,0,1,0,186,1,6022,1,4,0.06818181818181818,0.06818181818181818
10543,0,0,0,136,1,7805,0,5,0.0,0.0
4282,0,0,0,26,1,5160,0,8,0.0,0.0
4019,0,0,0,14,1,-1,0,9,0.05,0.05
4595,0,0,0,786,0,7131,0,7,0.0,0.0
6456,0,0,1,1,1,-1,1,2,0.0,0.0
10197,0,1,3,44,0,6559,1,2,0.0,0.0
4884,0,0,0,0,1,1590,1,0,0.0,0.0
10516,1,0,0,0,1,2644,1,1,0.36,0.36
10617,0,1,0,117,0,6493,1,5,0.0,0.0
3118,0,1,0,112,0,-1,0,7,0.0,0.0
3379,0,1,0,207,0,6841,0,5,0.0,0.0
9016,1,0,0,23,1,1963,0,3,0.6428571428571429,0.6428571428571429
5007,0,0,0,14,1,7295,1,5,0.030303030303030304,0.030303030303030304
4324,1,0,0,4,1,4003,1,0,0.19,0.19
3510,1,0,0,51,1,3993,1,0,0.20634920634920634,0.20634920634920634
3405,0,0,0,5,1,4322,1,0,0.0,0.0
381,0,1,0,57,1,7534,0,4,0.16666666666666666,0.16666666666666666
9565,0,1,0,65,1,6587,0,6,0.09836065573770492,0.09836065573770492
9738,0,1,0,59,1,-2,0,5,0.08888888888888889,0.08888888888888889
670,0,0,0,32,1,-1,1,0,0.0,0.0
8356,0,0,0,184,0,9395,0,9,0.0,0.0
7570,0,0,0,162,1,4182,0,3,0.0,0.0
5118,0,0,0,1,0,8350,1,10,0.03225806451612903,0.03225806451612903
11202,0,0,2,0,1,1252,1,0,0.0392156862745098,0.0392156862745098
2716,0,1,0,152,0,8517,0,10,0.0,0.0
4870,0,0,0,1,1,7083,1,3,0.0379746835443038,0.0379746835443038
7548,1,0,0,0,1,-1,1,2,0.21666666666666667,0.21666666666666667
2573,0,1,0,148,0,4460,0,2,0.0,0.0
9021,1,0,0,17,1,154,1,0,0.3147208121827411,0.3147208121827411
7486,0,0,2,0,1,3310,1,0,0.13043478260869565,0.13043478260869565
9085,0,1,0,21,1,7047,0,2,0.0,0.0
10364,0,1,1,50,1,5170,1,2,0.0,0.0
745,0,0,0,86,1,-1,1,2,0.0,0.0
8668,0,0,0,1,0,8350,1,10,0.0,0.0
10934,1,0,0,51,1,3993,1,0,0.14285714285714285,0.14285714285714285
11069,0,0,2,56,1,-1,1,0,0.08571428571428572,0.08571428571428572
10652,0,1,0,55,0,5635,0,10,0.0,0.0
5427,0,1,0,167,0,8791,0,5,0.0,0.0
4735,1,0,1,46,1,-1,1,0,0.20224719101123595,0.20224719101123595
4109,1,0,0,100,1,7159,1,3,0.21621621621621623,0.21621621621621623
4774,0,1,0,53,0,5637,0,10,0.0,0.0
9943,0,0,0,0,1,4161,1,0,0.03125,0.03125
1843,0,1,0,152,1,6244,0,4,0.022222222222222223,0.022222222222222223
7829,0,0,0,145,1,2352,1,4,0.05,0.05
5473,0,0,0,3,1,189,1,2,0.11764705882352941,0.11764705882352941
7490,0,1,0,74,1,4737,0,0,0.0,0.0
6216,0,0,2,0,1,1282,1,0,0.06493506493506493,0.06493506493506493
10378,0,1,0,158,0,5586,0,6,0.0,0.0
3881,0,1,0,211,0,7838,0,5,0.0,0.0
1443,0,1,0,97,1,1302,0,4,0.0,0.0
2879,0,0,0,0,1,1911,1,2,0.0,0.0
6210,0,0,0,0,1,129,1,0,0.0,0.0
3099,1,0,0,39,0,12209,1,8,0.16363636363636364,0.16363636363636364
3388,0,1,0,120,0,-1,0,2,0.0,0.0
8799,0,0,0,560,0,7129,1,7,0.0,0.0
10889,0,1,0,2726,0,-1,0,3,0.11538461538461539,0.11538461538461539
5800,0,0,2,21,1,5615,1,5,0.04878048780487805,0.04878048780487805
3857,0,1,0,125,0,-1,0,4,0.0,0.0
6754,0,0,0,112,1,-2,1,1,0.13333333333333333,0.13333333333333333
7960,0,1,0,30,1,302,1,0,0.027777777777777776,0.027777777777777776
5164,0,0,0,292,0,7658,0,7,0.0,0.0
9279,0,0,2,1,0,8346,0,10,0.0,0.0
7081,0,1,0,1,1,184,0,2,0.043478260869565216,0.043478260869565216
7318,0,0,0,10,1,5159,0,8,0.0,0.0
4913,0,1,0,175,0,6377,1,5,0.0,0.0
1180,0,0,0,1,1,72,1,0,0.0,0.0
9137,0,0,1,19,1,1278,1,0,0.0,0.0
9357,0,1,0,1,1,4517,0,3,0.0,0.0
8858,0,0,0,0,1,190,1,2,0.11428571428571428,0.11428571428571428
2203,0,0,0,6,1,1337,1,0,0.0,0.0
6345,0,0,0,4,1,-1,1,0,0.3125,0.3125
11087,0,1,0,60,1,8741,0,4,0.0,0.0
10980,0,1,0,45,0,7090,0,3,0.0,0.0
1044,0,0,6,120,1,1588,1,0,0.032467532467532464,0.032467532467532464
3757,0,0,2,1,0,8346,1,10,0.0,0.0
7967,0,0,0,10,1,5160,1,8,0.0,0.0
6809,0,0,0,0,1,2521,1,7,0.06818181818181818,0.06818181818181818
174,0,1,0,103,1,6831,1,0,0.061224489795918366,0.061224489795918366
10155,0,1,0,0,1,128,1,0,0.025,0.025
4249,0,0,0,146,0,9320,0,7,0.0,0.0
8368,0,0,0,123,0,6862,0,5,0.0,0.0
3688,0,0,0,56,0,8050,0,6,0.10204081632653061,0.10204081632653061
8960,0,0,0,1,0,3006,1,2,0.08,0.08
5944,0,0,0,31,1,5445,0,5,0.0,0.0
11158,0,1,0,198,1,2037,0,4,0.0,0.0
396,1,1,1,178,0,5589,1,3,0.17857142857142858,0.17857142857142858
8038,1,0,0,0,1,10158,1,4,0.3333333333333333,0.3333333333333333
6366,0,0,1,28,1,4489,0,3,0.0,0.0
11382,0,0,0,2,1,-1,1,0,0.0,0.0
1134,0,1,0,5,1,-1,0,3,0.0,0.0
1452,0,1,0,150,1,7199,0,2,0.0,0.0
9183,1,0,2,16,1,241,1,0,0.6896551724137931,0.6896551724137931
